,death_rate,stringency_mean,iso_code,location,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
66,5.714285714285714,62.64713080168785,FJI,Fiji,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,67.44,0.741
67,2.0047495443751036,39.11222996515663,FIN,Finland,18.136,42.8,21.228,13.264000000000001,40585.721,153.507,5.76,81.91,0.92
68,2.3068232933021946,55.170993150685,FRA,France,122.57799999999999,42.0,19.718,13.079,38605.671,86.06,4.77,82.66,0.9009999999999999
69,0.45880149812734083,0.0,PYF,French Polynesia,77.324,32.7,7.775,4.593,0.0,0.0,22.63,77.66,0.0
70,0.6312991471923801,70.06292181069955,GAB,Gabon,7.859,23.1,4.45,2.9760000000000004,16562.413,259.967,7.2,66.47,0.7020000000000001
71,3.2844733984799133,69.61050209205011,GMB,Gambia,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,331.43,1.91,62.05,0.46
72,0.850347801265005,67.32891891891919,GEO,Georgia,65.032,38.7,14.864,10.244000000000002,9745.079,496.218,7.11,73.77,0.78
73,1.6674531343215904,52.53228373702444,DEU,Germany,237.016,46.6,21.453000000000003,15.957,45229.245,156.139,8.31,81.33,0.9359999999999999
74,0.6490608900247454,53.84835390946512,GHA,Ghana,126.719,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,64.07,0.5920000000000001
76,1.4297507016674922,56.026023166023066,GRC,Greece,83.479,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,82.24,0.87
79,1.6094800141492747,67.65205882352934,GUM,Guam,304.128,31.4,9.551,5.492999999999999,0.0,310.496,21.52,80.07,0.0
80,3.4174923525582144,81.58351239669442,GTM,Guatemala,157.834,22.9,4.694,3.016,7423.808000000001,155.898,10.18,74.3,0.65
81,4.609929078014184,0.0,GGY,Guernsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.5927587311759052,60.81057851239652,GIN,Guinea,51.755,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,61.6,0.45899999999999996
83,1.699129714048902,0.0,GNB,Guinea-Bissau,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,58.32,0.455
84,2.980132450331126,75.83876033057851,GUY,Guyana,3.952,26.3,5.305,2.8369999999999997,7435.047,373.159,11.62,69.91,0.654
85,2.537737912929337,58.109746835443275,HTI,Haiti,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,430.548,6.65,64.0,0.498
86,2.757827070354351,91.00156378600785,HND,Honduras,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,75.27,0.617
87,2.19512790669282,54.742460317460306,HUN,Hungary,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,76.88,0.838
88,0.4692999608916699,40.606031128404716,ISL,Iceland,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,82.99,0.935
89,1.4771982110722184,68.80916376306611,IND,India,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,69.66,0.64
90,3.3219458622521083,60.74631372549003,IDN,Indonesia,145.725,29.3,5.319,3.053,11188.743999999999,342.86400000000003,6.32,71.72,0.6940000000000001
91,5.574103354529012,51.63131578947368,0,International,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2.2623735924482,78.09689655172421,IRN,Iran,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,76.68,0.7979999999999999
93,2.979252986082654,64.05765624999977,IRQ,Iraq,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,70.6,0.685
94,6.963788300835655,0.0,IRL,Ireland,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,82.3,0.938
95,0.8362189067131267,64.63935606060616,IMN,Isle of Man,147.872,0.0,0.0,0.0,0.0,0.0,0.0,81.4,0.0
96,4.25229265176104,60.017587412587204,ISR,Israel,402.606,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,82.97,0.903
97,2.3399143424213937,73.71659836065572,ITA,Italy,205.859,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,83.51,0.88
